id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
4770;1;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
4771;6;0;1;0;0;0;0;0;1;0;1;0;0;3;360.3307095
4772;3;0;0;0;1;0;0;0;0;0;1;0;1;3;360.3307095
4773;7;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4774;3;0;1;1;0;0;0;0;1;1;0;0;0;4;369.9241363
4775;4;0;0;1;0;0;1;0;1;0;1;0;1;5;317.0452195
4776;3;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4777;7;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4778;1;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4779;4;0;0;0;1;0;1;0;0;0;0;0;0;2;386.9712
4780;6;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
4781;2;0;0;0;0;0;0;0;1;1;0;1;0;3;360.3307095
4782;7;0;0;1;0;0;1;0;0;0;0;1;0;3;360.3307095
4783;2;0;0;1;0;0;1;0;1;0;0;1;0;4;369.9241363
4784;4;0;0;0;1;0;0;0;3;1;0;0;0;5;317.0452195
4785;5;2;0;1;0;0;0;1;0;1;0;0;0;5;317.0452195
4786;4;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4787;2;0;1;1;0;1;0;0;0;0;0;1;0;4;369.9241363
4788;5;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4789;6;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
4790;8;0;0;1;0;1;0;0;0;0;0;1;0;3;360.3307095
4791;6;2;0;1;0;0;0;0;0;1;0;0;0;4;369.9241363
4792;7;1;0;1;0;0;0;2;0;1;0;0;0;5;317.0452195
4793;6;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4794;5;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
4795;3;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4796;5;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4797;2;0;0;0;0;0;0;0;2;1;0;0;0;3;360.3307095
4798;6;0;0;0;1;0;0;0;2;0;1;0;1;5;317.0452195
4799;3;0;1;0;1;0;0;0;1;0;1;0;0;4;369.9241363
4800;8;0;0;1;0;0;0;0;1;0;0;0;0;2;386.9712
4801;7;0;0;0;0;0;0;0;0;1;0;0;0;1;457.517035
4802;6;0;0;0;0;0;0;1;0;1;0;0;0;2;386.9712
4803;8;0;1;1;0;0;0;0;0;1;0;0;0;3;360.3307095
4804;7;0;1;0;1;0;0;1;0;0;1;0;0;4;369.9241363
4805;1;1;0;1;0;0;0;0;1;1;0;0;0;4;369.9241363
4806;8;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4807;6;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
4808;6;0;0;0;0;0;0;1;1;1;0;0;0;3;360.3307095
4809;7;0;1;0;1;0;0;0;1;0;1;0;0;4;369.9241363
4810;3;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4811;6;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4812;8;0;0;0;0;0;0;0;1;0;1;0;0;2;386.9712
4813;3;0;0;1;0;0;0;0;0;0;1;0;0;2;386.9712
4814;4;1;0;1;0;0;0;0;0;1;0;0;0;3;360.3307095
4815;7;0;1;0;1;0;0;0;0;0;1;0;0;3;360.3307095
