id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
3143;1;0;0;2;1;0;0;0;0;1;1;0;0;5;348.5042866
3144;2;0;0;0;0;1;0;0;0;0;0;0;1;2;334.3032222
3145;6;0;0;1;0;0;0;0;0;1;0;1;0;3;360.3307095
3146;6;0;0;1;0;0;0;0;0;1;0;1;1;4;369.9241363
3147;1;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
3148;4;0;0;1;0;0;1;1;0;1;0;1;0;5;317.0452195
3149;4;0;0;1;0;0;0;2;0;1;0;0;0;4;369.9241363
3150;2;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3151;6;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
3152;1;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
3153;6;0;1;0;1;0;0;0;0;0;1;0;0;3;360.3307095
3154;2;0;1;0;0;1;0;0;0;1;1;0;0;4;369.9241363
3155;6;0;0;0;1;0;0;2;0;0;1;0;1;5;317.0452195
3156;3;0;0;0;0;1;0;0;0;1;1;0;0;3;360.3307095
3157;5;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3158;6;0;1;1;1;0;0;0;0;0;1;0;0;4;369.9241363
3159;4;0;1;2;0;1;0;0;0;0;1;0;0;5;317.0452195
3160;4;0;2;0;0;0;0;0;0;0;1;0;0;3;360.3307095
3161;5;0;0;0;0;1;0;1;0;1;0;1;0;4;369.9241363
3162;3;0;0;0;0;1;0;0;0;0;0;0;1;2;386.9712
3163;6;0;0;0;1;0;0;0;1;1;0;0;0;3;360.3307095
3164;5;0;2;1;0;0;0;0;0;1;0;0;0;4;369.9241363
3165;3;0;1;1;0;0;0;0;1;1;0;0;0;4;369.9241363
3166;5;0;1;0;1;0;0;0;1;1;0;0;0;4;369.9241363
3167;4;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
3168;4;1;0;1;0;0;0;0;0;1;0;0;0;3;360.3307095
3169;2;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
3170;2;1;0;1;0;0;0;0;0;1;0;0;0;3;360.3307095
3171;5;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
3172;2;0;1;0;0;0;0;1;0;1;0;0;0;3;360.3307095
3173;6;0;1;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3174;3;0;2;0;1;0;0;0;0;1;1;0;0;5;317.0452195
3175;6;0;0;0;0;0;0;0;1;0;1;0;0;2;386.9712
3176;4;0;1;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3177;6;0;0;0;0;0;0;0;1;0;1;0;0;2;386.9712
3178;1;0;1;0;0;0;0;0;0;1;0;0;0;2;386.9712
3179;2;0;0;1;0;0;0;0;2;0;1;0;0;4;369.9241363
3180;6;0;0;0;0;0;0;0;0;1;0;1;0;2;386.9712
3181;6;0;2;0;1;0;0;0;0;0;1;0;0;4;369.9241363
3182;6;0;0;0;0;0;0;0;0;1;0;0;0;1;457.517035
3183;6;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
